ID,CBSAFP,RentGrowth
492,46660,0.0381
493,46660,0.0381
494,46660,0.0381
495,46660,0.0381
496,46700,0.0182
497,47020,0.0187
498,47020,0.0187
499,47380,0.0098
500,47380,0.0098
501,47460,0.0146
502,47460,0.0146
503,47580,0.0001
504,47580,0.0001
505,47580,0.0001
506,47940,0.0289
507,47940,0.0289
508,47940,0.0289
509,48060,0.0238
510,48140,-0.0077
511,48300,0.0403
512,48300,0.0403
513,48620,0.0222
514,48620,0.0222
515,48620,0.0222
516,48620,0.0222
517,48620,0.0222
518,48660,0.0163
519,48660,0.0163
520,48660,0.0163
521,48700,0.0422
522,48900,-0.006
523,48900,-0.006
524,49180,0.0114
525,49180,0.0114
526,49180,0.0114
527,49180,0.0114
528,49180,0.0114
529,49420,-0.0044
530,49700,0.031
531,49700,0.031
532,49740,0.0164
