"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US25860","Hickory-Lenoir-Morganton, NC Metro Area","365276",
"310M600US25940","Hilton Head Island-Bluffton, SC Metro Area","215908",
"310M600US25980","Hinesville, GA Metro Area","81424",
"310M600US26140","Homosassa Springs, FL Metro Area","153843",
"310M600US26300","Hot Springs, AR Metro Area","100180",
"310M600US26380","Houma-Thibodaux, LA Metro Area","207137",
"310M600US26420","Houston-The Woodlands-Sugar Land, TX Metro Area","7122240",
"310M600US26580","Huntington-Ashland, WV-KY-OH Metro Area","359862",
"310M600US26620","Huntsville, AL Metro Area","491723",
"310M600US26820","Idaho Falls, ID Metro Area","157429",
"310M600US26900","Indianapolis-Carmel-Anderson, IN Metro Area","2111040",
"310M600US26980","Iowa City, IA Metro Area","175419",
"310M600US27060","Ithaca, NY Metro Area","105740",
"310M600US27100","Jackson, MI Metro Area","160366",
"310M600US27140","Jackson, MS Metro Area","591978",
"310M600US27180","Jackson, TN Metro Area","180504",
"310M600US27260","Jacksonville, FL Metro Area","1605848",
"310M600US27340","Jacksonville, NC Metro Area","204576",
"310M600US27500","Janesville-Beloit, WI Metro Area","163687",
"310M600US27620","Jefferson City, MO Metro Area","150309",
"310M600US27740","Johnson City, TN Metro Area","207285",
"310M600US27780","Johnstown, PA Metro Area","133472",
"310M600US27860","Jonesboro, AR Metro Area","134196",
"310M600US27900","Joplin, MO Metro Area","181409",
"310M600US27980","Kahului-Wailuku-Lahaina, HI Metro Area","164754",
"310M600US28020","Kalamazoo-Portage, MI Metro Area","261670",
"310M600US28100","Kankakee, IL Metro Area","107502",
"310M600US28140","Kansas City, MO-KS Metro Area","2192035",
"310M600US28420","Kennewick-Richland, WA Metro Area","303622",
"310M600US28660","Killeen-Temple, TX Metro Area","475367",
"310M600US28700","Kingsport-Bristol, TN-VA Metro Area","307614",
"310M600US28740","Kingston, NY Metro Area","181851",
"310M600US28940","Knoxville, TN Metro Area","879773",
"310M600US29020","Kokomo, IN Metro Area","83658",
"310M600US29100","La Crosse-Onalaska, WI-MN Metro Area","139627",
"310M600US29180","Lafayette, LA Metro Area","478384",
"310M600US29200","Lafayette-West Lafayette, IN Metro Area","223716",
"310M600US29340","Lake Charles, LA Metro Area","222402",
"310M600US29420","Lake Havasu City-Kingman, AZ Metro Area","213267",
"310M600US29460","Lakeland-Winter Haven, FL Metro Area","725046",
"310M600US29540","Lancaster, PA Metro Area","552984",
"310M600US29620","Lansing-East Lansing, MI Metro Area","541297",
"310M600US29700","Laredo, TX Metro Area","267114",
"310M600US29740","Las Cruces, NM Metro Area","219561",
"310M600US29820","Las Vegas-Henderson-Paradise, NV Metro Area","2265461",
"310M600US29940","Lawrence, KS Metro Area","118785",
"310M600US30020","Lawton, OK Metro Area","126652",
"310M600US30140","Lebanon, PA Metro Area","143257",
"310M600US30300","Lewiston, ID-WA Metro Area","64375",
"310M600US30340","Lewiston-Auburn, ME Metro Area","111139",
"310M600US30460","Lexington-Fayette, KY Metro Area","516811",
"310M600US30620","Lima, OH Metro Area","102206",
"310M600US30700","Lincoln, NE Metro Area","340217",
"310M600US30780","Little Rock-North Little Rock-Conway, AR Metro Area","748031",
"310M600US30860","Logan, UT-ID Metro Area","147348",
"310M600US30980","Longview, TX Metro Area","286184",
"310M600US31020","Longview, WA Metro Area","110730",
"310M600US31080","Los Angeles-Long Beach-Anaheim, CA Metro Area","13200998",
"310M600US31140","Louisville/Jefferson County, KY-IN Metro Area","1285439",
"310M600US31180","Lubbock, TX Metro Area","321368",
"310M600US31340","Lynchburg, VA Metro Area","261593",
"310M600US31420","Macon-Bibb County, GA Metro Area","233802",
"310M600US31460","Madera, CA Metro Area","156255",
"310M600US31540","Madison, WI Metro Area","680796",
